steam_id,game_time,recommend,helpful_count,review_date,review_comment,early_access,refund,game_id,name
Private ID,65.6 hrs on record,Recommended,721 people found this review helpful,"Posted: May 23, 2024",10/10 would dig in trash again,Full_Release,not refunded,413150,Stardew Valley
76561198111477632,255.6 hrs on record,Recommended,518 people found this review helpful,"Posted: April 7, 2024","And after all these years, I've finally reached the summit ❤.",Full_Release,not refunded,413150,Stardew Valley
76561199208930069,127.8 hrs on record,Recommended,535 people found this review helpful,"Posted: May 12, 2024",i like this more than my real life,Full_Release,not refunded,413150,Stardew Valley
76561199235027626,195.9 hrs on record,Recommended,293 people found this review helpful,"Posted: May 18, 2024",I thought it would be chill and relaxing but I am grinding for my life. 10/10.,Full_Release,not refunded,413150,Stardew Valley
76561199310310079,33.5 hrs on record,Recommended,288 people found this review helpful,Posted: March 9,"Very good game. started a farm with my girlfriend after she recommended we play it, and we play it whenever we have nothing else to do. she helps show me around the game mechanics and all the little things you need to do to be successful. guess this is more of a girlfriend review, this will be my first and last as im gonna marry this one. 10/10. would love forever,",Full_Release,not refunded,413150,Stardew Valley
76561199070290137,243.2 hrs on record,Recommended,299 people found this review helpful,"Posted: October 7, 2024","I have played this game for 690 hours, 450 on the switch, 250 on my computer. My cat in real life is named Junimo. I love this game so much, and little Junimo is the light of my life.",Full_Release,not refunded,413150,Stardew Valley
76561199108764880,517.4 hrs on record,Recommended,349 people found this review helpful,"Posted: June 6, 2024",this game cured my depression,Full_Release,not refunded,413150,Stardew Valley
76561198083880836,11.6 hrs on record,Recommended,"4,189 people found this review helpful","Posted: June 24, 2024",like if you think I'm gay,Full_Release,not refunded,413150,Stardew Valley
76561198109854496,"1,075.3 hrs on record",Recommended,282 people found this review helpful,"Posted: November 29, 2024","I love this game. It's like a warm comfortable blanket, a favorite cup of coffee or tea. It's a happy place to go when feeling stressed. It's great fun alone or with friends. With over a one thousand hours spent within, I know I'll return again and again.",Full_Release,not refunded,413150,Stardew Valley
76561198142247081,7.8 hrs on record,Recommended,261 people found this review helpful,"Posted: June 25, 2024","""It's been a loooooooooooooooooooooooong time""",Full_Release,not refunded,620,Portal 2
76561199205240037,14.5 hrs on record,Recommended,254 people found this review helpful,"Posted: May 18, 2024",Step 8: Feel good about yourself,Full_Release,not refunded,620,Portal 2
76561198365608384,12.0 hrs on record,Recommended,179 people found this review helpful,"Posted: July 3, 2024",Insulted by a woman robot for 5 hours,Full_Release,not refunded,620,Portal 2
76561199133826308,22.1 hrs on record,Recommended,152 people found this review helpful,"Posted: April 12, 2024",WHERE IS THE 3RD GAME VALVE,Full_Release,not refunded,620,Portal 2
76561198007888370,18.5 hrs on record,Recommended,107 people found this review helpful,"Posted: December 14, 2024",10000/10,Full_Release,not refunded,620,Portal 2
76561198869617365,8.2 hrs on record,Recommended,65 people found this review helpful,"Posted: October 30, 2024",☐ 10,Full_Release,not refunded,620,Portal 2
76561198173086579,10.6 hrs on record,Recommended,64 people found this review helpful,"Posted: June 1, 2024","Literally amazing. Came for the puzzles, stayed for the lore.",Full_Release,not refunded,620,Portal 2
76561199697272356,7.9 hrs on record,Recommended,54 people found this review helpful,"Posted: November 17, 2024","Life-changing, first proper story game I've played and a damn good one to start with, couldn't recommend more if i tried.",Full_Release,not refunded,620,Portal 2
76561198204537111,61.0 hrs on record,Recommended,34 people found this review helpful,"Posted: December 20, 2024",Nobody will read my review so I Will Eat 1 Tablespoon of hotsauce For Every Like this gets.,Full_Release,not refunded,620,Portal 2
76561199180267373,10.1 hrs on record,Recommended,119 people found this review helpful,"Posted: September 26, 2024",☐ 10,Full_Release,not refunded,620,Portal 2
76561198884362801,155.0 hrs on record,Recommended,36 people found this review helpful 0,"Posted: October 20, 2024",Hilarious dialogue. Deep lore. Difficult puzzle experience. These things make this game and it's prequel my favorite video games I've played. Only complaint is there's not a third game.,Full_Release,not refunded,620,Portal 2
76561198165700155,195.2 hrs on record,Recommended,47 people found this review helpful,"Posted: May 14, 2024",󠀡󠀡,Full_Release,not refunded,620,Portal 2
